Date,P_av,P_jdsp,P_inmet_aut,P_inmet_conv,P_maplu_esc,P_average,Pacum_P_av,Pacum_P_jdsp,Pacum_P_inmet_aut,Pacum_P_inmet_conv,Pacum_P_maplu_esc,Pacum_P_average
2016-04-24,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-25,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-26,1.8,0.6000000000000001,1.4,0.0,3.0,1.36,796.6000000000001,694.4000000000003,627.2,631.8999999999999,665.4000000000003,683.1000000000001
2016-04-27,5.6000000000000005,6.2,5.0,6.0,2.0,4.96,802.2000000000002,700.6000000000004,632.2,637.8999999999999,667.4000000000003,688.0600000000002
2016-04-28,0.2,0.0,0.2,0.0,0.2,0.12000000000000002,802.4000000000002,700.6000000000004,632.4000000000001,637.8999999999999,667.6000000000004,688.1800000000002
2016-04-29,0.0,0.4,0.6000000000000001,0.0,0.2,0.24,802.4000000000002,701.0000000000003,633.0000000000001,637.8999999999999,667.8000000000004,688.4200000000002
2016-04-30,0.2,0.0,0.2,0.6,0.0,0.2,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,667.8000000000004,688.6200000000002
2016-05-01,0.0,0.0,0.0,0.0,0.2,0.04,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-02,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-03,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-04,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-05,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-06,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-07,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-08,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-09,0.0,0.0,0.0,0.0,0.0,0.0,802.6000000000003,701.0000000000003,633.2000000000002,638.4999999999999,668.0000000000005,688.6600000000002
2016-05-10,4.8,10.2,11.4,0.0,6.4,6.56,807.4000000000002,711.2000000000004,644.6000000000001,638.4999999999999,674.4000000000004,695.2200000000001
2016-05-11,0.2,0.2,0.2,11.0,0.2,2.36,807.6000000000003,711.4000000000004,644.8000000000002,649.4999999999999,674.6000000000005,697.5800000000002
2016-05-12,0.0,0.0,0.2,0.4,0.2,0.16,807.6000000000003,711.4000000000004,645.0000000000002,649.8999999999999,674.8000000000005,697.7400000000001
2016-05-13,0.0,0.0,0.0,0.0,0.0,0.0,807.6000000000003,711.4000000000004,645.0000000000002,649.8999999999999,674.8000000000005,697.7400000000001
2016-05-14,0.0,0.0,0.0,0.0,0.0,0.0,807.6000000000003,711.4000000000004,645.0000000000002,649.8999999999999,674.8000000000005,697.7400000000001
2016-05-15,0.0,0.0,0.0,0.0,0.0,0.0,807.6000000000003,711.4000000000004,645.0000000000002,649.8999999999999,674.8000000000005,697.7400000000001
2016-05-16,36.4,6.2,29.6,0.0,31.0,20.64,844.0000000000002,717.6000000000005,674.6000000000003,649.8999999999999,705.8000000000005,718.3800000000001
2016-05-17,3.8,30.0,21.6,39.8,0.0,19.04,847.8000000000002,747.6000000000005,696.2000000000003,689.6999999999998,705.8000000000005,737.4200000000001
2016-05-18,0.2,0.0,1.0,0.0,0.0,0.24,848.0000000000002,747.6000000000005,697.2000000000003,689.6999999999998,705.8000000000005,737.6600000000001
2016-05-19,0.0,0.0,0.0,0.7,0.0,0.13999999999999999,848.0000000000002,747.6000000000005,697.2000000000003,690.3999999999999,705.8000000000005,737.8000000000001
2016-05-20,0.0,0.0,0.0,0.0,9.2,1.8399999999999999,848.0000000000002,747.6000000000005,697.2000000000003,690.3999999999999,715.0000000000006,739.6400000000001
2016-05-21,41.4,20.200000000000003,51.2,51.8,25.0,37.92,889.4000000000002,767.8000000000005,748.4000000000003,742.1999999999998,740.0000000000006,777.5600000000001
2016-05-22,0.2,19.6,0.0,0.0,0.8,4.12,889.6000000000003,787.4000000000005,748.4000000000003,742.1999999999998,740.8000000000005,781.6800000000001
2016-05-23,2.8,0.8,1.4,0.0,1.0,1.2,892.4000000000002,788.2000000000005,749.8000000000003,742.1999999999998,741.8000000000005,782.8800000000001
2016-05-24,0.0,0.0,0.0,0.0,0.0,0.0,892.4000000000002,788.2000000000005,749.8000000000003,742.1999999999998,741.8000000000005,782.8800000000001
2016-05-25,0.0,0.0,0.0,0.0,0.0,0.0,892.4000000000002,788.2000000000005,749.8000000000003,742.1999999999998,741.8000000000005,782.8800000000001
2016-05-26,0.0,0.0,0.0,0.0,0.0,0.0,892.4000000000002,788.2000000000005,749.8000000000003,742.1999999999998,741.8000000000005,782.8800000000001
2016-05-27,0.0,0.0,0.0,0.0,0.0,0.0,892.4000000000002,788.2000000000005,749.8000000000003,742.1999999999998,741.8000000000005,782.8800000000001
2016-05-28,0.0,0.0,0.0,0.0,0.0,0.0,892.4000000000002,788.2000000000005,749.8000000000003,742.1999999999998,741.8000000000005,782.8800000000001
2016-05-29,0.8,0.0,1.0,0.0,1.0,0.5599999999999999,893.2000000000002,788.2000000000005,750.8000000000003,742.1999999999998,742.8000000000005,783.44
2016-05-30,13.8,0.0,14.8,0.0,23.6,10.440000000000001,907.0000000000001,788.2000000000005,765.6000000000003,742.1999999999998,766.4000000000005,793.8800000000001
2016-05-31,12.2,0.4,18.8,31.9,7.4,14.14,919.2000000000002,788.6000000000005,784.4000000000002,774.0999999999998,773.8000000000005,808.0200000000001
2016-06-01,18.2,19.6,22.6,3.4000000000000004,18.0,16.36,937.4000000000002,808.2000000000005,807.0000000000002,777.4999999999998,791.8000000000005,824.3800000000001
2016-06-02,22.6,0.0,21.0,26.4,28.200000000000003,19.64,960.0000000000002,808.2000000000005,828.0000000000002,803.8999999999997,820.0000000000006,844.0200000000001
2016-06-03,26.8,0.2,33.4,37.9,17.0,23.06,986.8000000000002,808.4000000000005,861.4000000000002,841.7999999999997,837.0000000000006,867.08
2016-06-04,1.0,0.0,3.6,13.5,1.0,3.8200000000000003,987.8000000000002,808.4000000000005,865.0000000000002,855.2999999999997,838.0000000000006,870.9000000000001
2016-06-05,0.6000000000000001,0.0,8.4,0.3,10.6,3.9799999999999995,988.4000000000002,808.4000000000005,873.4000000000002,855.5999999999997,848.6000000000006,874.8800000000001
2016-06-06,16.6,23.0,12.4,0.0,20.2,14.440000000000001,1005.0000000000002,831.4000000000005,885.8000000000002,855.5999999999997,868.8000000000006,889.3200000000002
2016-06-07,9.6,37.0,16.400000000000002,16.8,6.800000000000001,17.32,1014.6000000000003,868.4000000000005,902.2000000000002,872.3999999999996,875.6000000000006,906.6400000000002
2016-06-08,0.2,0.0,0.2,3.8,0.4,0.9200000000000002,1014.8000000000003,868.4000000000005,902.4000000000002,876.1999999999996,876.0000000000006,907.5600000000002
